iter	Logloss
0	0.5986595312
1	0.5350123673
2	0.4941266961
3	0.4670404949
4	0.4489051798
5	0.4366253856
6	0.427962799
7	0.4216351659
8	0.4171150239
9	0.4136091791
10	0.4110040075
11	0.4089372837
12	0.4073123633
13	0.4059620599
14	0.404865862
15	0.4039856846
16	0.4032415016
17	0.40258348
18	0.4020300495
19	0.4015389931
20	0.4011611483
21	0.4007042881
22	0.4003744767
23	0.400071611
24	0.399854442
25	0.399559553
26	0.3993150173
27	0.3991033547
28	0.3988938662
29	0.3987459611
30	0.398571607
31	0.398420444
32	0.3982557419
33	0.398133319
34	0.3979965583
35	0.3979029953
36	0.3978069727
37	0.3977260796
38	0.3976025495
39	0.3975130275
40	0.3974102634
41	0.3973251619
42	0.3972402254
43	0.3971496746
44	0.3970558686
45	0.3969893699
46	0.3969339606
47	0.3968266974
48	0.3967455433
49	0.3966993387
50	0.3966283475
51	0.3965747146
52	0.396502883
53	0.396418834
54	0.3963374075
55	0.3962715128
56	0.3962220585
57	0.3961605507
58	0.3961090815
59	0.3960365197
60	0.3959961199
61	0.3959661392
62	0.3959167558
63	0.3958540491
64	0.3958084039
65	0.3957584376
66	0.3957290479
67	0.3956810292
68	0.3956455961
69	0.395605995
70	0.3955291132
71	0.3954687324
72	0.3954249842
73	0.3953855182
74	0.395324189
75	0.3952923835
76	0.3952371351
77	0.3952066786
78	0.3951593167
79	0.3951280276
80	0.3950619662
81	0.3950352692
82	0.3950083296
83	0.3949684011
84	0.3949401428
85	0.3949045023
86	0.3948636626
87	0.3948298903
88	0.3947831151
89	0.3947581611
90	0.3947343121
91	0.3946835393
92	0.3946641855
93	0.3946242038
94	0.3946024961
95	0.394571938
96	0.3945175456
97	0.3944844311
98	0.3944603676
99	0.3944365204
100	0.3944055505
101	0.3943771174
102	0.3943593192
103	0.3943312546
104	0.3942876541
105	0.3942472776
106	0.3942197701
107	0.3941932873
108	0.3941701571
109	0.3941154791
110	0.3940622506
111	0.3940198429
112	0.3939835047
113	0.3939484913
114	0.3939255943
115	0.3939075888
116	0.3938878954
117	0.3938435276
118	0.3938100897
119	0.3937788261
120	0.3937580216
121	0.3937375463
122	0.3936904902
123	0.3936461027
124	0.393611806
125	0.3935973611
